序号,学号,实验结论为空,结论跑题,提到变频器多频率，改变频率多个值之类的,变频器一定，流量值稳定,频率越大，流量值越大,流量计能反映瞬时流量值，数据准确,总分,content,isTrain
1,8016121,0,0,0,0,0,1,17,由以上对实验数据的分析可知，该涡街流量计在频率至少为25Hz时，流量测量的准确度较高，且随着流量增大误差随之逐渐减小。,1
2,8016228,0,0,1,0,0,1,18,涡街流量计的精度较高，在变频器分别为20Hz、25Hz、30Hz时，误差均非常小，且具有响应速度快，稳定时间短的优点，因此认为涡街流量计在本次实验的环境下十分可靠。,0
3,8016329,0,0,0,0,0,0,15,可以看出虽然数据有点小波动，但大致情况还是不错的。因而，当变频器的频率为30Hz时，其流量为1푚푚3/h。,1
4,8016322,0,0,0,0,0,1,17,涡街流量计能正确显示瞬时流量值，且在一定时间内（约20s），和实际流量的误差低于1%，精确度恒高。,1
5,8016105,0,0,0,0,0,1,17,流量计的测量值大致符合实际流量值，但是存在误差。,1
6,8016129,0,0,1,0,1,0,17,变频器频率越大时，容器质量上升的斜率就越大，此时涡街流量计的值就越高，仿真得到的实验结果和理论是一致的。,1
7,8016102,0,0,1,1,1,1,20,1.涡街流量计能正确显示瞬时流量值。2.当变频器频率固定时，“容器质量_时间”曲线图的斜率与涡街流量计的流量平均值之间的差满足一定误差范围。3.利用涡街流量计显示瞬时流量值，其容器质量与时间成线性关系，灵敏度不错。,0
8,8016202,0,0,1,1,1,0,18,由实验数值和实验曲线观察，变频器频率越大时，容器质量上升的斜率就越大，此时涡街流量计的值就越高。变频器频率一定时，瞬时流量值为稳定值。实验结论与理论知识相吻合，证明实验正确。,1
9,8016203,0,0,1,1,1,0,18,变频器频率一定时，瞬时流量值为稳定值。实验中改变变频器频率时，可以得到不同的瞬时流量值。,1
10,8016320,0,0,0,0,0,1,17,涡街流量计读数稳定，但不同的设备实验效果有较大差异。能准确反应流体的变化情况和变化趋势。,1
11,8016307,0,0,0,0,0,1,17,由该实验可知，涡街流量计能够准确地实时测量管道内液体的流量，其特点是压力损失小，量程范围大，精度高，在测量工况体积流量时几乎不受流体密度、时间频率质量(kg)实际流量(m3/h)涡街流量(m3/h)00:35308.150.720.7500:37308.450.720.7500:39308.850.720.7501:004515.151.261.3101:024515.81.381.3101:044516.51.41.301:054517.0400011.411.3压力、温度、粘度等参数的影响。可靠性高。,1
12,8016309,0,0,0,0,0,1,17,实验目的是：验证涡街流量计能正确显示瞬时流量值（参考标准是上水箱中水的质量随时间的变化情况）。由实验的结果来看，变频器频率为30时，水体积_时间曲线为y=0.90*x+(-5.84)结果良好，可以很好地反应出涡街流量计能正确显示瞬时流量值01:163017.3700010.9601:173017.760.9601:183017.9400010.9601:193018.10.9601:203018.480.9601:213018.680.96,1
13,8016316,0,0,0,0,0,1,17,由数据可知，变频器频率为30Hz，稳定时的流量为0.96~0.97푚3/ℎ，比较稳定，质量与时间的线性关系比较好，实验较为成功。,0
14,8016119,1,0,0,0,0,0,0,,1
15,8016233,0,0,1,0,0,1,18,涡街流量计能够比较准确得测量出瞬时流量值，但是需要在流量稳定时测量结果比较准确。在实验过程中，当我们刚改变变频器的频率时，由于流量还不稳定，导致涡街流量计的读数也不很稳定。,1
16,8016308,0,0,1,1,1,0,18,理论上变频器频率越大时，容器质量上升的斜率就越大，此时涡街流量计的值就越高。变频器频率一定时，瞬时流量值为稳定值。,1
17,8016112,0,0,1,0,1,0,17,变频器频率越大时，容器质量上升的斜率就越大，此时涡街流量计的值就越高。051015202530350:320:340:360:380:400:420:440:460:480:500:520:540:560:581:001:021:04图表标题频率质量(kg)涡街流量(m3/h),1
18,8016227,0,0,0,0,0,1,17,实验结论就是涡街流量计可以很好的跟踪管道内流体的流量，当流量保持恒定时，测得的流量值也是一定的，当然存在一定的波动，这个由误差产生。那么实验主要是验证了实验原理以及这个流量计的使用。,1
19,8016332,0,0,0,1,0,0,16,在变频器频率一定时，瞬时流量值基本为稳定值。即单位时间的传输水的质量大致是稳定的。所以，在涡街流量计流量大致稳定的时候，上水箱的水的质量是基本与时间成正比的。,0
20,8016205,1,0,0,0,0,0,0,,1
21,8016134,0,0,1,0,0,1,18,1.变频器频率为30时，水体积_时间曲线为y=0.37*x+(-10.97);2.变频器频率为35时，水体积_时间曲线为y=0.57*x+(-33.93);3.变频器频率为40时，水体积_时间曲线为y=0.67*x+(-46.79);4.变频器频率为44时，水体积_时间曲线为y=0.88*x+(-82.79);为此实验为验证性实验，从实验结果中我们可以看出，涡街流量计测得的涡街流量十分接近真实值。涡街流量计能正确显示瞬时流量值。,1
22,8016214,0,0,0,0,0,1,17,验证结果表明，涡街流量计示数正确，当抽水上去时显示液体流量，关闭抽水机时液体瞬时流量为0，流量与电机频率成正相关。,0
23,8016231,0,0,1,0,0,1,18,当变频器频率30HZ时，涡街流量计稳定时读数为0.89m3/h，水体积-时间直线的斜率为0.8856m3/h。当变频器频率35HZ时，涡街流量计稳定时读数为1.05m3/h，水体积-时间直线的斜率为1.053257m3/h。当变频器频率35HZ时，涡街流量计稳定时读数为0.48m3/h，水体积-时间直线的斜率为0.475199m3/h。为此实验为验证性实验，从实验结果中我们可以看出，涡街流量计测得的涡街流量十分接近真实值。涡街流量计能正确显示瞬时流量值。,0
24,8016334,0,0,1,0,0,1,18,当变频器频率30HZ时，涡街流量计稳定时读数为1.04m3/h，体积-时间直线的斜率为0.9936m3/h。当变频器频率35HZ时，涡街流量计稳定时读数为1.4m3/h，体积-时间直线的斜率为1.37417m3/h。从实验结果中我们可以看出，涡街流量计测得的涡街流量十分接近真实值。验证了涡街流量计能正确显示瞬时流量值。,1
25,8016330,0,0,0,1,0,1,18,变频器频率一定时，涡街流量计现实的值为稳定值，而且，根据称重计得到的质量变化是一条直线，其斜率反映出质量的变化是匀速的，可知此时流量也是稳定的。而且，“容器质量_时间”曲线图的斜率与涡街流量计的瞬时流量平均值（此处流量值是固定值）之间的差满足在一定误差范围内，涡街流量计能正确显示瞬时流量值得到验证。,1
26,8016132,0,1,0,0,0,0,14,涡街流量计算选型时需要用户提供的工艺参数要准确，工艺条件要清楚，否则容易造成流量测量的误差。要明确4个工艺参数：（1）流体名称、组分；（2）工作状态的最大、常用、最小流量；（3）最高、常用、最低工作压力和工作温度；（4）工作状态介质的粘度。涡街流量计不适用于测量雷诺数（Re）低于2x104的流体。低雷诺数时仪表线性度变差，流体粘度高会显著影响甚至阻碍旋涡的产生，选型的一个限制条件是不能使用于界限雷诺数之下，在高牯度、低流速、小口径情况下应用受到限制。与涡轮流量计相比仪表系数较低，分辨率低，口径愈大愈低，一般满管式流量计用于DN300以下。关注了工艺参数后，涡街流量计公称直径的选择也很重要。首先应考虑工艺管道与涡街流量计公称直径应尽量一致。同时还应进行流量或流速的验算，使实际流量落在传感器的测量范围内，并最好在测量上限的30%～70%之间。但常常有这样的情况，一些工艺管道小流量用大管道、大流量用小管道，低于仪表的下限或超出上限值，这时就要根据实际流量选择涡街流量计公称直径，采用收缩管或扩大管的方法保证使流量在测量上限的30%～70%之间，并应连接异形管并配置必要长度的直管段。,1
27,8016124,0,1,0,0,0,0,14,涡街流量计实际使用时在数据未稳定时可能存在误差，可以通过算法对测得流量数据进行滤波。涡街流量计不适用于测量雷诺数（Re）低于2x104的流体。低雷诺数时仪表线性度变差，流体粘度高会显著影响甚至阻碍旋涡的产生，选型的一个限制条件是不能使用于界限雷诺数之下，在高牯度、低流速、小口径情况下应用受到限制。与涡轮流量计相比仪表系数较低，分辨率低，口径愈大愈低，一般满管式流量计用于DN300以下。涡街流量计公称直径的选择很重要。首先应考虑工艺管道与涡街流量计公称直径应尽量一致。同时还应进行流量或流速的验算，使实际流量落在传感器的测量范围内，并最好在测量上限的30%～70%之间。但常常有这样的情况，一些工艺管道小流量用大管道、大流量用小管道，低于仪表的下限或超出上限值，这时就要根据实际流量选择涡街流量计公称直径，采用收缩管或扩大管的方法保证使流量在测量上限的30%～70%之间，并应连接异形管并配置必要长度的直管段。,0
28,8016128,1,0,0,0,0,0,0,,1
29,8016220,0,0,0,0,0,1,17,虽然无法获得获得理论上进入水箱水的流速，但是根据测量的质量折算成流速与实际测量的流速比较，可以发现涡街流量计的流速测量还是比较准确的，可以验证涡街流量计的作用。,1
30,8016219,0,0,0,1,0,0,16,变频器频率一定时，瞬时流量值为稳定值。,1
31,8016206,0,0,0,1,0,0,16,变频器频率一定时，瞬时流量值为稳定值。,0
32,8016310,0,0,0,0,0,1,17,实验目的是：验证涡街流量计能正确显示瞬时流量值（参考标准是上水箱中水的质量随时间的变化情况）。将时间单位整理为小时h，由质量取水密度1000kg/m3，由记录数据画出水体积-时间曲线，得到拟合直线为푦=0.6334푥−0.0006，可知水流量约为0.6334m3/h，与传感器测得数值相差不大，实验数据良好。,1
33,8016328,0,0,0,0,0,1,17,由曲线可以看出，在我等待流速稳定了之后，水箱质量的变化相对于时间已经近似于线性关系，说明涡街流量计的测量精度较高，测量数据较为准确。,1
